lad19cd,lad19nm,type,income,quintile,moran,skew,80_20,90_50,50_10,90_10,ruc11cd,ruc11nm,ruc,coastal,oac11cd,oac11n,gdhi,health_avg,education_avg,flat,left,right,nshape
E07000223,Adur,nshape,0.108,3,0.17,0.03504047547,2.486238532,1.989247312,1.722222222,3.425925926,4,Urban with City and Town,urban,coastal,1,Town and Country Living,21231,-0.055,26.162,154,155,190,50
E07000026,Allerdale,flat,0.121,3,0.29,-0.05043436773,4.162895928,2.71160221,2.928802589,7.941747573,1,Mainly Rural,rural,coastal,3,Countryside Living,19804,0.189,27.873,7,114,123,69
E07000032,Amber Valley,nshape,0.109,3,0.29,-0.04857806777,3.173553719,2.147263682,2.469287469,5.302211302,5,Urban with Minor Conurbation,urban,non-coastal,1,Town and Country Living,18776,0.114,25.729,48,138,126,35
E07000224,Arun,nshape,0.104,3,0.31,-0.1159470528,2.336601307,1.979190751,1.790890269,3.544513458,4,Urban with City and Town,urban,coastal,3,Countryside Living,22793,0.128,24.399,135,162,158,11
E07000170,Ashfield,left,0.152,4,0.15,0.4328487707,2.610091743,1.989090909,2.555762082,5.083643123,4,Urban with City and Town,urban,non-coastal,5,Services and Industrial Legacy ,16510,0.542,35.49,94,12,243,76
E07000105,Ashford,nshape,0.11,3,0.34,-0.1685527171,2.165109034,2.397777778,1.778656126,4.264822134,3,Urban with Significant Rural,urban,non-coastal,1,Town and Country Living,21444,-0.473,22.784,143,149,184,29
E07000004,Aylesbury Vale,right,0.067,1,0.47,-0.7547809334,3.27672956,2.808510638,1.926229508,5.409836066,2,Largely Rural,rural,non-coastal,4,Affluent England ,24119,-0.838,15.266,255,280,61,266
E07000200,Babergh,right,0.08,2,0.17,-0.5308347508,2.44534413,2.243478261,1.725,3.87,1,Mainly Rural,rural,non-coastal,1,Town and Country Living,21882,-0.693,17.815,210,235,124,187
E09000002,Barking and Dagenham,left,0.194,5,0.27,0.7554375359,1.544846051,1.312244898,1.544523247,2.02679275,6,Urban with Major Conurbation,urban,london,7,Ethnically Diverse Metropolitan Living,17299,0.204,25.513,312,189,316,309
E09000003,Barnet,nshape,0.111,3,0.36,0.06711234609,2.620689655,2.063157895,2.111111111,4.355555556,6,Urban with Major Conurbation,urban,london,7,Ethnically Diverse Metropolitan Living,30826,-1.074,7.83,69,131,150,2
E08000016,Barnsley,left,0.169,5,0.38,0.5716597189,3.498630137,1.907594937,2.581699346,4.924836601,5,Urban with Minor Conurbation,urban,non-coastal,5,Services and Industrial Legacy ,16704,0.839,37.029,117,1,261,156
E07000027,Barrow-in-Furness,flat,0.159,5,0.5,0.2638384945,4.410958904,2.648484848,3.069767442,8.130232558,3,Urban with Significant Rural,urban,coastal,5,Services and Industrial Legacy ,17485,1.251,26.498,76,61,223,152
E07000066,Basildon,flat,0.138,4,0.58,0.2941661095,5.145539906,1.934328358,4.322580645,8.361290323,4,Urban with City and Town,urban,non-coastal,2,Urban Settlements,21180,-0.092,32.304,74,105,192,175
E07000084,Basingstoke and Deane,right,0.071,1,0.4,-0.6448682636,3.846153846,2.941176471,2.339449541,6.880733945,3,Urban with Significant Rural,urban,non-coastal,4,Affluent England ,24838,-0.52,16.648,225,263,39,248
E07000171,Bassetlaw,flat,0.122,3,0.23,0.07151872743,3.427586207,2.165714286,2.287581699,4.954248366,2,Largely Rural,rural,non-coastal,1,Town and Country Living,17836,0.419,27.32,28,95,165,42
E06000022,Bath and North East Somerset,right,0.079,2,0.21,-0.4975551528,3.384615385,2.30625,2.461538462,5.676923077,3,Urban with Significant Rural,urban,non-coastal,6,"Business, Education and Heritage Centres ",23107,-0.668,14.043,128,224,2,142
E06000055,Bedford,flat,0.114,3,0.36,-0.1449132449,3.274368231,2.602247191,2.367021277,6.159574468,3,Urban with Significant Rural,urban,non-coastal,2,Urban Settlements,21986,-0.119,19.05,25,124,121,24
E09000004,Bexley,flat,0.106,3,0.57,-0.1579304834,3.674418605,2.456140351,2.310810811,5.675675676,6,Urban with Major Conurbation,urban,london,2,Urban Settlements,22724,-0.561,18.331,67,160,95,95
E08000025,Birmingham,left,0.222,5,0.56,1.094417001,3.155339806,1.634821429,3.303834808,5.401179941,6,Urban with Major Conurbation,urban,non-coastal,7,Ethnically Diverse Metropolitan Living,15281,0.67,32.085,288,106,306,293
E07000129,Blaby,right,0.069,1,-0.02,-0.07735124268,2.284313725,1.519117647,1.894150418,2.877437326,4,Urban with City and Town,urban,non-coastal,1,Town and Country Living,18414,-0.497,16.8,233,258,103,194
